Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2015,.53,.62,.59,.48,.55,.58,.56,.59,.52,.88,.77,.81,.62,.60,.54,.54,.58,.72
2016,.81,.79,.81,.71,.81,.50,.65,.91,.59,.71,.72,.68,.72,.73,.80,.78,.68,.67
2017,.65,.75,.81,.68,.90,.50,.67,.73,.51,.74,.54,.49,.66,.68,.70,.80,.63,.59
2018,.51,.46,.58,.79,.61,.67,.74,.67,.63,.81,.71,.76,.66,.64,.49,.66,.69,.71
2019,.68,.78,.78,.77,.71,.61,.84,.79,.65,.71,.80,.83,.75,.74,.74,.75,.75,.72
2020,.76,.77,.68,.84,.72,.69,.68,.61,.73,.54,.60,.41,.67,.71,.79,.75,.66,.62
2021,.37,.33,.57,.39,.53,.49,.76,.61,.80,.67,.55,.58,.55,.54,.37,.50,.62,.67
2022,.58,.61,.67,.57,.65,.71,.81,.71,.61,.62,.37,.53,.62,.62,.59,.63,.74,.53
2023,.45,.64,.81,.96,.75,.98,.95,.83,1.29,.83,.85,.87,.85,.82,.54,.84,.92,.99
2024,.83,.94,1.01,.84,.88,.94,.99,1.17,.87,.96,.71,.83,.91,.92,.88,.91,1.03,.85
2025,.90,.88,.89,.88,.94,.93,.82,1.05,1.09,.89,.74,.69,.89,.90,.87,.90,.93,.91
2026,.77,.89,1.02,.95,.97,.92,.97,1.14,***,***,***,***,***,***,.78,.98,1.01,***
